English,Turkish
above,üstünde
act,davranmak
activities,faaliyetler
activity,aktivite
advice,tavsiye
agreement,anlaşma
air,hava
amount,miktar
analysis,analiz
application,başvuru
approach,yaklaşmak
appropriate,uygun
april,nisan
arms,silâh
around,etrafında
ask,sormak
asked,diye sordu
attention,dikkat
authorities,yetkililer
authority,yetki
aware,farkında olmak
away,uzak
bad,kötü
bank,banka
basic,temel
basis,temel
because,Çünkü
become,haline gelmek
bed,yatak
behaviour,davranış
being,yapı
believe,inanmak
better,daha iyi
beyond,öte
bit,biraz
black,siyah
blood,kan
books,kitabın
boy,erkek çocuk
bring,getirmek
built,inşa edilmiş
called,isminde
can,olabilmek
capital,başkent
care,bakım
cases,dava
central,merkezi
centre,merkez
certainly,kesinlikle
chance,şans
changes,değişim
chapter,bölüm
choice,seçenek
church,kilise
circumstances,durumlar
city,şehir
class,sınıf
clear,temizlemek
clearly,Açıkça
club,kulüp
colour,renk
come,Gelmek
comes,gelir
coming,gelen
committee,Kurul
common,yaygın
companies,şirket
concerned,endişeli
conditions,koşullar
conference,konferans
contract,sözleşme
control,kontrol
cost,maliyet
costs,maliyet
could,abilir
countries,ülkeler
couple,çift
course,kurs
cup,bardak
current,akım
data,veri
date,tarih
david,David
decision,karar
defence,savunma
degree,derece
department,departman
design,tasarım
despite,aksine
details,detaylar
died,ölü
difference,fark
director,müdür
does,yapmak
earlier,daha erken
early,erken
easily,kolayca
east,doğu
easy,kolay
economy,ekonomi
effective,etkili
effects,Etkileri
either,herhangi biri
energy,enerji
english,İngilizce
environment,çevre
especially,özellikle
europe,Avrupa
european,Avrupalı
even,eşit
evening,akşam
event,etkinlik
events,olaylar
everyone,herkes
everything,her şey
exactly,Kesinlikle
example,örnek
experience,deneyim
extent,kapsam
feel,hissetmek
feet,ayak
felt,keçe
few,bir kaç
field,alan
figure,figür
figures,figürler
film,film
final,son
finally,Sonunda
financial,parasal
find,bulmak
fine,iyi
fire,ateş
floor,zemin
following,takip etme
follows,takip etmek
food,yiyecek
force,güç
forces,kuvvetler
foreign,yabancı
former,önceki
forward,ileri
